id,hostname,model,exist in CA Spectrum
60015175572158978,EVNTKS60,"HP J9091A Switch 8212zl, revision K.15.18.0021, RO",False
60539850364565908,SZXALSW10-B1-IDF,J9776A,False
60719195249949457,HGHAJSW11-03,J9776A,False
60767486887761656,DSMTSP01.marriott.com,C891FK9,True
61029978799984305,INCSISW04-8F-IDF-SE,"HP J9773A 2530-24G-PoEP Switch, revision YA.16.04.",False
61232759632119171,CAIJWS50,"HP J9729A 2920-48G-POE+ Switch, revision WB.16.10.",False
61318366491337362,SNAFASW02,"HP J9776A 2530-24G Switch, revision YA.16.10.0016,",False
61767444324241350,SJOJWP01.marriott.com,891,True
62129415832269735,SHASYSW02-12-IDF,J9625A,False
62228330531414195,CVNTSP01.marriott.com,C800,True
62403841034571582,unknown,,False
63252697461657526,MCTWHSW04.Marriott.com,cat29xxStack,False
63375235408941562,MCIFGP01.marriott.com,C11118PLteEA,True
63639064570894666,XIYWHSW02C-B2-IDF,J9773A,False
63806595281612328,DXBRG-SW02-L12-IDF01,,False
63904930155714556,XIYWHSW23-09-R928,J9774A,False
63980439949737458,unknown,,False
64175593474116843,DALMTP01.marriott.com,1921k9,True
64349171051465033,BKKWBSW05,"ProCurve J9279A Switch 2510G-24, revision Y.11.52,",False
65022149394412869,LIHSISW01-01-CAFETERIA.Marriott.com,catwsC2960CX8tcL,False
65714510971742020,DXBJS42,"HP J9299A Switch 2520G-24-PoE, revision J.15.09.00",False
65728381569455352,MLESI53,"HP J9623A 2620-24 Switch, revision RA.16.04.0023, ",False
66468447813953340,HNLRRS63,"HP J9775A 2530-48G Switch, revision YA.16.10.0016,",False
66857038374543204,unknown,,False
66981344077767202,MNLAPMGBS02,550024GSFPHI,False
67757766039536422,MLEXRS10,513024G4SFPPlusEI,False
67825502087248695,DALDHS01-1A-MDF,"HP J9626A 2620-48 Switch, revision RA.16.02.0012, ",False
67873961686371886,DALAEP01,C800,True
68191025034165797,CTDCYS01,"ProCurve J9019B Switch 2510B-24, revision Q.11.78,",False
68191276428705001,GRJQUS01,Aruba JL071A,False
68245503166407669,SFOYAP01.marriott.com,C800,True
68595269122193198,BKKFPP01,1921k9,True
68743608767404159,unknown,,False
69068110231492616,HAKMCSW01-01-V9999,J9773A,False
69395549891068838,SFOJWS03,"HP J9775A 2530-48G Switch, revision YA.16.10.0016,",False
70341735765697185,PSPWDp01,1921k9,True
70948804886698892,OKCNQS01,"HP J4813A ProCurve Switch 2524, revision F.05.80, ",False
71446572347541932,OSARZS14.Marriott.com,WS-C2960X-24TS-L,False
71579667785495944,SNASJS01,"ProCurve J9019B Switch 2510B-24, revision Q.11.78,",False
72011484178877755,unknown,,False
72878192506556948,SHAMPSW02-2M-MDF,J8697A,False
72984136586063559,JEDMRS,"HP J9772A 2530-48G-PoEP Switch, revision YA.16.10.",False
73222714507583632,HOUFPP01,1921k9,True
73428509888112959,MEXVJS04,"HP J9783A 2530-8 Switch, revision YB.16.10.0016, R",False
