id,hostname,model,exist in Netmri
0x1210036,SLERIP01.marriott.com,Rtr_Cisco,False
0x11d8005,FCBCLP01.marriott.com,GnSNMPDev,False
0x130c02a,BUHOXP01.marriott.com,Rtr_Cisco,False
0x11ec002,LAXOTP01.marriott.com,GnSNMPDev,False
0x11f8000,PNQFPP01,GnSNMPDev,False
0x11ec001,LAXROP01.marriott.com,GnSNMPDev,False
0x11e003e,JKTJWP01.marriott.com,Rtr_Cisco,False
0x1334012,MADCUP01.marriott.com,GnSNMPDev,False
0x11e003f,JKTMDP01,Rtr_Cisco,False
0x11f403e,WASAFP01.marriott.com,Rtr_Cisco,False
0x11bc039,KOAMCR01.marriott.com,Rtr_Cisco,False
0x11e003c,JKTGSP01,Rtr_Cisco,False
0x11e003d,JKTRTP01.marriott.com,Rtr_Cisco,False
0x11e003a,JKTERP01.marriott.com,Rtr_Cisco,False
0x11cc038,DFWRAP01.marriott.com,GnSNMPDev,False
0x11e003b,JKTTFP01,Rtr_Cisco,False
0x11cc039,DALFLP01.marriott.com,GnSNMPDev,False
0x11fc039,JAXRIP01.marriott.com,GnSNMPDev,False
0x12dc00a,YLWFEP01.marriott.com,Rtr_Cisco,False
0x11fc038,CAEAHP01,GnSNMPDev,False
0x11f0037,DENWTP01.marriott.com,GnSNMPDev,False
0x11cc034,DALIRP01.marriott.com,GnSNMPDev,True
0x11cc035,DFWCYP01.marriott.com,GnSNMPDev,False
0x101c02b,VTZFIP01.marriott.com,GnSNMPDev,True
0x11cc036,DALIVP01.marriott.com,GnSNMPDev,False
0x11cc037,DFWSIP01.marriott.com,GnSNMPDev,False
0x11cc030,DALIWP01.marriott.com,GnSNMPDev,False
0x11cc031,DALLAP01.marriott.com,GnSNMPDev,False
0x11cc033,DALLSP01.marriott.com,GnSNMPDev,False
0x11cc02c,DFWAIP01,Rtr_Cisco,False
0x11cc02d,DFWELP01,Rtr_Cisco,False
0x11cc02e,DFWAHP01,Rtr_Cisco,False
0x11cc02f,DFWWAP01,Rtr_Cisco,False
0x102c031,hdqncntcfw01.marriott.com,Pingable,False
0x11cc028,DFWASP01.marriott.com,Rtr_Cisco,False
0x11cc029,DALCLP01.marriott.com,Rtr_Cisco,False
0x11cc02a,DFWAPP01.marriott.com,Rtr_Cisco,False
0x11cc02b,DALTSP01.marriott.com,Rtr_Cisco,False
0x102c035,hdqasprdips1.marriott.com,Pingable,False
0x102c03a,hdqasc914802.marriott.com,Pingable,False
0x1310009,MAD40P01.marriott.com,Rtr_Cisco,False
0x102c03b,hdqimtstips2.marriott.com,Pingable,False
0x1228018,HGHCWP01.marriott.com,GnSNMPDev,True
0x102c038,hdqasprdips2.marriott.com,Pingable,False
0x102c039,hdqasc914801.marriott.com,Pingable,False
0x120001d,BOSNHP01.marriott.com,Rtr_Cisco,False
0x102c03f,hdqimtsttap02.marriott.com,Pingable,False
0x102c03c,hdqimc914803.marriott.com,Pingable,False
0x102c03d,hdqimc914804.marriott.com,Pingable,False
0x102c042,hdqasprdtap02.marriott.com,Pingable,False
0x102c043,hdqimtsttap01.marriott.com,Pingable,False
0x1328070,DFWCFP01.marriott.com,GnSNMPDev,False
0x102c040,hdqimtstips1.marriott.com,Pingable,False
0x1174055,HDQNCNVxRS06,CiscoNXOS,False
0x102c041,hdqasprdtap01.marriott.com,Pingable,False
0x1334070,MADRCP01.marriott.com,GnSNMPDev,False
0x102c046,hdqimprdips2.marriott.com,Pingable,False
0x102c047,hdqimc914801.marriott.com,Pingable,False
0x102c044,hdqimtstpwr08.marriott.com,Pingable,False
0x102c045,hdqimc914802.marriott.com,Pingable,False
0x102c04a,hdqdlprdips1.marriott.com,Pingable,False
